Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 204440,     468553,       7847,          0, 59.71,        261
Dom-1   , 75816,     204822,       3936,        461, 52.04,        131
Dom-2   , 51520,     115264,       1646,         69, 70.03,         54
Dom-3   , 33664,      89967,       1194,         34, 75.35,         39
Dom-4   , 41344,      90658,       1363,         67, 66.51,         45
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 187456,     473775,       7442,          0, 63.66,        248
Dom-1   , 75728,     194052,       3876,        475, 50.07,        129
Dom-2   , 47936,     118459,       1647,         69, 71.92,         54
Dom-3   , 31312,      95439,       1152,         32, 82.85,         38
Dom-4   , 32480,      95898,       1020,         47, 94.02,         34
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 190376,     489013,       7431,          0, 65.81,        247
Dom-1   , 67984,     202393,       3547,        434, 57.06,        118
Dom-2   , 54752,     131632,       1800,         70, 73.13,         60
Dom-3   , 31272,      93018,       1153,         33, 80.67,         38
Dom-4   , 36368,      98426,       1201,         53, 81.95,         40
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 182584,     447948,       6972,          0, 64.25,        232
Dom-1   , 61240,     185073,       3174,        400, 58.31,        105
Dom-2   , 50192,     119971,       1654,         69, 72.53,         55
Dom-3   , 29264,      88922,       1060,         32, 83.89,         35
Dom-4   , 41560,      99892,       1363,         59, 73.29,         45
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 196000,     460190,       7522,          0, 61.18,        250
Dom-1   , 75760,     188018,       3903,        473, 48.17,        130
Dom-2   , 54080,     120171,       1715,         72, 70.07,         57
Dom-3   , 29536,      88739,       1007,         30, 88.12,         33
Dom-4   , 36624,     101225,       1183,         50, 85.57,         39
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 189192,     452683,       7272,          0, 62.25,        242
Dom-1   , 71288,     194931,       3712,        438, 52.51,        123
Dom-2   , 51216,     115317,       1590,         64, 72.53,         53
Dom-3   , 29632,      91756,       1081,         31, 84.88,         36
Dom-4   , 37056,     108064,       1175,         49, 91.97,         39
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 178096,     433801,       6929,          0, 62.61,        230
Dom-1   , 59696,     177725,       3096,        380, 57.40,        103
Dom-2   , 49296,     111948,       1708,         77, 65.54,         56
Dom-3   , 28368,      85038,        985,         29, 86.33,         32
Dom-4   , 40736,     109594,       1381,         55, 79.36,         46
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 177856,     428444,       7118,          0, 60.19,        237
Dom-1   , 71360,     195470,       3664,        476, 53.35,        122
Dom-2   , 46528,     111308,       1551,         72, 71.77,         51
Dom-3   , 21248,      79526,        818,         25, 97.22,         27
Dom-4   , 38720,     104726,       1295,         52, 80.87,         43
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 182352,     472339,       7297,          0, 64.73,        243
Dom-1   , 72032,     203449,       3746,        444, 54.31,        124
Dom-2   , 42176,     110290,       1361,         61, 81.04,         45
Dom-3   , 22848,      85859,        910,         28, 94.35,         30
Dom-4   , 45296,     109133,       1501,         55, 72.71,         50
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 199824,     464994,       7524,          0, 61.80,        250
Dom-1   , 65920,     190534,       3422,        422, 55.68,        114
Dom-2   , 43872,     102525,       1460,         69, 70.22,         48
Dom-3   , 32256,      92919,       1056,         29, 87.99,         35
Dom-4   , 57776,     111418,       1886,         64, 59.08,         62
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 191976,     430259,       7215,          0, 59.63,        240
Dom-1   , 58080,     192023,       3032,        375, 63.33,        101
Dom-2   , 41728,     106478,       1339,         59, 79.52,         44
Dom-3   , 39024,      87457,       1382,         42, 63.28,         46
Dom-4   , 53144,     142122,       1772,         61, 80.20,         59
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 194704,     488412,       7408,          0, 65.93,        246
Dom-1   , 64880,     187135,       3364,        403, 55.63,        112
Dom-2   , 47136,     117371,       1513,         64, 77.58,         50
Dom-3   , 25328,      87493,        892,         25, 98.09,         29
Dom-4   , 57360,     125261,       1916,         65, 65.38,         63
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 195896,     503770,       7488,          0, 67.28,        249
Dom-1   , 67752,     208894,       3521,        437, 59.33,        117
Dom-2   , 55312,     114815,       1729,         75, 66.41,         57
Dom-3   , 26416,      89781,        963,         27, 93.23,         32
Dom-4   , 46416,     122162,       1571,         54, 77.76,         52
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 183408,     391579,       6984,          0, 56.07,        232
Dom-1   , 49968,     191089,       2590,        309, 73.78,         86
Dom-2   , 34192,     112154,       1111,         54, 100.95,         37
