Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-3   , 38336,      93697,       1384,         40, 67.70,         46
Dom-4   , 60912,     123117,       2160,         70, 57.00,         72
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 195384,     507517,       7748,          0, 65.50,        258
Dom-1   , 75360,     203119,       3877,        445, 52.39,        129
Dom-2   , 39856,     112190,       1312,         62, 85.51,         43
Dom-3   , 31040,      94965,       1074,         32, 88.42,         35
Dom-4   , 49128,     136044,       1727,         48, 78.77,         57
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 193088,     387135,       6865,          0, 56.39,        228
Dom-1   , 36640,     178569,       1890,        227, 94.48,         63
Dom-2   , 63520,     111626,       1934,         87, 57.72,         64
Dom-3   , 40864,      85537,       1521,         49, 56.24,         50
Dom-4   , 52064,     124248,       1855,         57, 66.98,         61
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 191200,     466797,       7600,          0, 61.42,        253
Dom-1   , 77808,     181648,       4036,        489, 45.01,        134
Dom-2   , 44736,     110457,       1398,         66, 79.01,         46
Dom-3   , 27728,      92940,        956,         30, 97.22,         31
Dom-4   , 40928,     116904,       1448,         49, 80.73,         48
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 198888,     476976,       7606,          0, 62.71,        253
Dom-1   , 78416,     186761,       3928,        480, 47.55,        130
Dom-2   , 50768,     117325,       1521,         63, 77.14,         50
Dom-3   , 25200,      91055,        906,         25, 100.50,         30
Dom-4   , 44368,     118575,       1556,         55, 76.21,         51
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 190360,     462428,       7504,          0, 61.62,        250
Dom-1   , 73776,     190500,       3845,        457, 49.54,        128
Dom-2   , 40512,     109421,       1306,         62, 83.78,         43
Dom-3   , 28160,      97920,        937,         27, 104.50,         31
Dom-4   , 47584,     107663,       1674,         61, 64.31,         55
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 191088,     475446,       7493,          0, 63.45,        249
Dom-1   , 72448,     205261,       3755,        459, 54.66,        125
Dom-2   , 44592,     113280,       1411,         68, 80.28,         47
Dom-3   , 28896,      84718,       1056,         32, 80.23,         35
Dom-4   , 45152,     108840,       1534,         62, 70.95,         51
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 189712,     464388,       7213,          0, 64.38,        240
Dom-1   , 61312,     180934,       3161,        370, 57.24,        105
Dom-2   , 47408,     126785,       1487,         69, 85.26,         49
Dom-3   , 35248,      91099,       1264,         37, 72.07,         42
Dom-4   , 45744,     102651,       1615,         70, 63.56,         53
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 175064,     438212,       6656,          0, 65.84,        221
Dom-1   , 63472,     174046,       3316,        431, 52.49,        110
Dom-2   , 42048,     108532,       1329,         60, 81.66,         44
Dom-3   , 32464,      88375,       1078,         32, 81.98,         35
Dom-4   , 37080,      99523,       1225,         50, 81.24,         40
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 191808,     476072,       7544,          0, 63.11,        251
Dom-1   , 77360,     196280,       4055,        503, 48.40,        135
Dom-2   , 43632,     118631,       1340,         60, 88.53,         44
Dom-3   , 26368,      86182,        972,         28, 88.66,         32
Dom-4   , 44128,     107505,       1447,         62, 74.30,         48
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 190864,     450282,       6986,          0, 64.45,        232
Dom-1   , 52784,     192948,       2752,        329, 70.11,         91
Dom-2   , 57056,     121105,       1777,         80, 68.15,         59
Dom-3   , 30704,      92153,       1142,         33, 80.69,         38
Dom-4   , 50320,     106121,       1642,         75, 64.63,         54
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 192824,     473325,       7444,          0, 63.58,        248
Dom-1   , 75128,     195601,       3922,        462, 49.87,        130
Dom-2   , 43552,     111707,       1362,         63, 82.02,         45
Dom-3   , 32688,      97734,       1106,         30, 88.37,         36
Dom-4   , 41456,     107445,       1362,         66, 78.89,         45
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 187312,     453659,       7361,          0, 61.63,        245
Dom-1   , 74096,     201358,       3885,        474, 51.83,        129
Dom-2   , 46624,     107595,       1426,         68, 75.45,         47
Dom-3   , 29312,      86217,       1068,         32, 80.73,         35
Dom-4   , 37280,      99051,       1256,         64, 78.86,         41
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 192880,     459131,       7287,          0, 63.01,        242
Dom-1   , 69080,     193233,       3601,        445, 53.66,        120
Dom-2   , 63888,     119809,       1915,         83, 62.56,         63
Dom-3   , 30712,      93463,       1067,         28, 87.59,         35
Dom-4   , 29200,      95459,       1008,         51, 94.70,         33
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 195272,     473157,       7415,          0, 63.81,        247
Dom-1   , 77104,     194207,       3974,        507, 48.87,        132
Dom-2   , 46096,     113736,       1421,         65, 80.04,         47
Dom-3   , 36216,     109469,       1193,         32, 91.76,         39
Dom-4   , 35856,     102523,       1153,         57, 88.92,         38
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 188832,     453397,       7322,          0, 61.92,        244
Dom-1   , 71456,     192237,       3685,        433, 52.17,        122
Dom-2   , 40592,     108637,       1326,         64, 81.93,         44
Dom-3   , 34208,      92935,       1211,         33, 76.74,         40
Dom-4   , 42576,     103669,       1384,         67, 74.91,         46
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 192216,     460471,       7302,          0, 63.06,        243
Dom-1   , 74536,     189742,       3932,        455, 48.26,        131
Dom-2   , 54304,     109263,       1610,         74, 67.87,         53
Dom-3   , 35992,      99371,       1149,         30, 86.48,         38
Dom-4   , 27384,     100300,        921,         49, 108.90,         30
