Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 228720,     105875,       8038,          0, 13.17,        267
Dom-1   , 227656,     111049,       8206,       1372, 13.53,        273
Dom-2   ,  0,          0,          0,          0, 0.00,          0
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 233528,     117161,       8270,          0, 14.17,        275
Dom-1   , 233440,     122477,       8444,       1321, 14.50,        281
Dom-2   ,  0,          0,          0,          0, 0.00,          0
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 230832,     115492,       8486,          0, 13.61,        282
Dom-1   , 230832,     120144,       8618,       1333, 13.94,        287
Dom-2   ,  0,          0,          0,          0, 0.00,          0
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 234720,     123559,       8779,          0, 14.07,        292
Dom-1   , 234720,     128647,       8918,       1258, 14.43,        297
Dom-2   ,  0,          0,          0,          0, 0.00,          0
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 229952,     129256,       8924,          0, 14.48,        297
Dom-1   , 229952,     133691,       9032,       1264, 14.80,        301
Dom-2   ,  0,          0,          0,          0, 0.00,          0
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 219224,     130616,       8797,          0, 14.85,        293
Dom-1   , 217184,     132584,       8780,       1290, 15.10,        292
Dom-2   ,  0,          0,          0,          0, 0.00,          0
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 228320,     130065,       9415,          0, 13.81,        313
Dom-1   , 228320,     133918,       9474,       1318, 14.14,        315
Dom-2   ,  0,          0,          0,          0, 0.00,          0
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 235840,     133455,       9627,          0, 13.86,        320
Dom-1   , 235672,     137466,       9707,       1291, 14.16,        323
Dom-2   ,  0,          0,          0,          0, 0.00,          0
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 230184,     133399,       9616,          0, 13.87,        320
Dom-1   , 229848,     137358,       9676,       1318, 14.20,        322
Dom-2   ,  0,          0,          0,          0, 0.00,          0
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 230128,     131370,       9738,          0, 13.49,        324
Dom-1   , 230128,     135810,       9788,       1302, 13.88,        326
Dom-2   ,  0,          0,          0,          0, 0.00,          0
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 235504,     136763,      10002,          0, 13.67,        333
Dom-1   , 235504,     140756,      10055,       1296, 14.00,        335
Dom-2   ,  0,          0,          0,          0, 0.00,          0
