Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 183664,     254565,       7444,          0, 34.20,        248
Dom-1   , 91376,     178308,       4695,        573, 37.98,        156
Dom-2   , 92288,      89019,       2992,        175, 29.75,         99
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 191592,     263506,       7901,          0, 33.35,        263
Dom-1   , 106568,     185670,       5388,        611, 34.46,        179
Dom-2   , 85024,      89377,       2731,        161, 32.73,         91
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 184744,     271104,       7603,          0, 35.66,        253
Dom-1   , 97752,     187259,       4982,        587, 37.59,        166
Dom-2   , 86992,     100679,       2845,        153, 35.39,         94
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 193504,     263866,       7952,          0, 33.18,        265
Dom-1   , 99008,     177377,       5003,        575, 35.45,        166
Dom-2   , 94496,     105262,       3164,        152, 33.27,        105
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 194192,     279648,       8021,          0, 34.86,        267
Dom-1   , 99344,     183141,       5061,        601, 36.19,        168
Dom-2   , 94800,     106354,       3169,        135, 33.56,        105
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 190640,     300636,       8205,          0, 36.64,        273
Dom-1   , 100352,     186460,       5060,        577, 36.85,        168
Dom-2   , 90288,     123383,       3300,        126, 37.39,        110
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 197056,     296274,       8535,          0, 34.71,        284
Dom-1   , 93088,     176369,       4753,        582, 37.11,        158
Dom-2   , 103968,     135386,       3929,        113, 34.46,        130
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 205568,     318892,       8876,          0, 35.93,        295
Dom-1   , 99024,     177123,       5062,        594, 34.99,        168
Dom-2   , 106544,     156843,       3955,        103, 39.66,        131
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 197888,     327717,       8595,          0, 38.13,        286
Dom-1   , 95136,     180520,       4878,        577, 37.01,        162
Dom-2   , 97584,     149963,       3729,        105, 40.22,        124
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 201120,     312160,       8544,          0, 36.54,        284
Dom-1   , 100704,     189529,       5161,        591, 36.72,        172
Dom-2   , 97472,     129764,       3490,        111, 37.18,        116
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 201976,     290215,       8510,          0, 34.10,        283
Dom-1   , 99960,     177978,       5135,        589, 34.66,        171
Dom-2   , 101880,     125090,       3605,        125, 34.70,        120
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 195696,     280571,       7931,          0, 35.38,        264
Dom-1   , 99120,     179204,       4887,        584, 36.67,        162
Dom-2   , 96112,     113290,       3293,        135, 34.40,        109
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 187928,     280367,       7890,          0, 35.53,        263
Dom-1   , 96960,     183438,       4984,        611, 36.81,        166
Dom-2   , 90640,     108984,       3118,        138, 34.95,        103
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 188576,     263931,       7781,          0, 33.92,        259
Dom-1   , 94928,     176227,       4837,        582, 36.43,        161
Dom-2   , 93648,     102389,       3174,        143, 32.26,        105
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 192624,     270905,       8003,          0, 33.85,        266
Dom-1   , 101408,     181912,       5206,        619, 34.94,        173
Dom-2   , 91216,     106325,       3015,        140, 35.27,        100
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 193224,     288559,       7848,          0, 36.77,        261
Dom-1   , 93136,     180770,       4797,        583, 37.68,        159
Dom-2   , 86336,     103701,       2884,        140, 35.96,         96
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 189984,     272191,       7768,          0, 35.04,        258
Dom-1   , 97280,     184673,       5053,        607, 36.55,        168
Dom-2   , 92704,     101087,       2959,        147, 34.16,         98
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 191320,     279313,       7794,          0, 35.84,        259
Dom-1   , 94776,     190297,       4910,        580, 38.76,        163
Dom-2   , 96544,     102957,       3135,        151, 32.84,        104
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 187392,     249790,       7525,          0, 33.19,        250
Dom-1   , 91456,     170418,       4740,        632, 35.95,        158
Dom-2   , 95936,      97709,       3042,        151, 32.12,        101
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 185768,     254823,       7594,          0, 33.56,        253
Dom-1   , 97032,     176763,       4996,        609, 35.38,        166
Dom-2   , 88736,      96447,       2852,        144, 33.82,         95
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 188048,     264549,       7762,          0, 34.08,        258
Dom-1   , 98608,     180218,       5109,        625, 35.27,        170
Dom-2   , 89440,      98200,       2896,        151, 33.91,         96
