Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 163208,     240533,       7101,          0, 33.87,        236
Dom-1   , 95752,     178297,       4816,        563, 37.02,        160
Dom-2   , 67456,      71890,       2493,        166, 28.84,         83
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 163984,     248863,       7001,          0, 35.55,        233
Dom-1   , 91256,     185941,       4638,        578, 40.09,        154
Dom-2   , 72720,      77687,       2599,        179, 29.89,         86
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 159792,     231596,       6634,          0, 34.91,        221
Dom-1   , 78272,     177223,       4015,        474, 44.14,        133
Dom-2   , 81520,      77472,       2867,        197, 27.02,         95
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 169176,     257149,       7147,          0, 35.98,        238
Dom-1   , 94632,     189252,       4798,        570, 39.44,        159
Dom-2   , 74544,      80577,       2581,        169, 31.22,         86
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 164080,     248894,       7098,          0, 35.07,        236
Dom-1   , 94528,     182753,       4804,        579, 38.04,        160
Dom-2   , 69552,      77426,       2493,        163, 31.06,         83
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 173816,     253598,       7172,          0, 35.36,        239
Dom-1   , 92312,     179268,       4693,        580, 38.20,        156
Dom-2   , 81504,      84934,       2708,        167, 31.36,         90
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 172728,     260420,       7150,          0, 36.42,        238
Dom-1   , 90288,     193274,       4623,        557, 41.81,        154
Dom-2   , 82432,      85268,       2770,        179, 30.78,         92
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 185168,     273366,       7565,          0, 36.14,        252
Dom-1   , 100560,     198131,       5093,        567, 38.90,        169
Dom-2   , 84608,      87487,       2725,        166, 32.11,         90
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 184560,     264583,       7493,          0, 35.31,        249
Dom-1   , 99248,     196153,       5022,        577, 39.06,        167
Dom-2   , 85312,      86876,       2736,        162, 31.75,         91
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
